[2026-06-18 21:38:20] [INFO    ] discord.client: logging in using static token
[2026-06-18 21:38:21] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-06-18 21:38:21] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-06-18 21:38:21] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1517172259058483362', 'username': 'Otimous', 'avatar': '5655f9addbd643300591f455abd73750', 'discriminator': '0026', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-06-18 21:38:21] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-06-18 21:38:21] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-06-18 21:38:21] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1517172259058483362', 'name': 'Otimous', 'icon': '5655f9addbd643300591f455abd73750', 'description': '/avatar — Mostra o avatar de um usuário no chat.\n/hidden_avatar — Mostra o avatar de um usuário sem exibir quem executou o comando.', 'type': None, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot': {'id': '1517172259058483362', 'username': 'Otimous', 'avatar': '5655f9addbd643300591f455abd73750', 'discriminator': '0026', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands', 'bot'], 'permissions': '3072'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands', 'bot'], 'permissions': '3072'}}}, 'verify_key': 'f1dac06f21496e147597f936396349632f0f7dfadd05275546282e0105ce7711', 'flags': 8945664, 'flags_new': '8945664', 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '694183524466425922', 'username': 'rinperk', 'avatar': 'd05cbba5cdce90ba1b3877d88a813428', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 0, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#000000', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2532, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 3, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-06-18 21:38:21] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1517172259058483362/commands with [{"name":"avatar","description":"Mostra o avatar de algu\u00e9m","type":1,"options":[{"type":6,"name":"usuario","description":"\u2026","required":false}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"hidden_avatar","description":"Mostra o avatar sem exibir quem pediu","type":1,"options":[{"type":6,"name":"usuario","description":"\u2026","required":false}],"nsfw":false,"dm_permission":true,"default_member_permissions":null,"contexts":null,"integration_types":null},{"name":"agendar_avatar","description":"Agenda o envio autom\u00e1tico de um avatar","type":1,"options":[{"type":6,"name":"usuario","description":"\u2026","required":true},{"type":7,"name":"canal","description":"\u2026","required":true,"channel_types":[0,5]},{"type":4,"name":"intervalo","description":"\u2026","required":true,"min_value":1,"max_value":10080}],"nsfw":false,"dm_permission":true,"default_member_permissions":8,"contexts":null,"integration_types":null},{"name":"avatar_agendado_status","description":"Mostra a configura\u00e7\u00e3o atual do envio autom\u00e1tico.","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":8,"contexts":null,"integration_types":null},{"name":"avatar_agendado_remover","description":"Remove a configura\u00e7\u00e3o de envio autom\u00e1tico.","type":1,"options":[],"nsfw":false,"dm_permission":true,"default_member_permissions":8,"contexts":null,"integration_types":null}] has returned 200
[2026-06-18 21:38:21] [DEBUG   ] discord.http: PUT /applications/{application_id}/commands has found its initial rate limit bucket hash (3e32a240d3716487d7d8f6dae6c54f6b).
[2026-06-18 21:38:21] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/applications/1517172259058483362/commands has received [{'id': '1517174952636317918', 'application_id': '1517172259058483362', 'version': '1517178530121650347', 'default_member_permissions': None, 'type': 1, 'name': 'avatar', 'name_localizations': None, 'description': 'Mostra o avatar de alguém', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0, 1], 'options': [{'type': 6, 'name': 'usuario', 'name_localizations': None, 'description': '…', 'description_localizations': None}], 'nsfw': False}, {'id': '1517314995233493175', 'application_id': '1517172259058483362', 'version': '1517314995233493179', 'default_member_permissions': None, 'type': 1, 'name': 'hidden_avatar', 'name_localizations': None, 'description': 'Mostra o avatar sem exibir quem pediu', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0], 'options': [{'type': 6, 'name': 'usuario', 'name_localizations': None, 'description': '…', 'description_localizations': None}], 'nsfw': False}, {'id': '1517314995233493176', 'application_id': '1517172259058483362', 'version': '1517316417504936026', 'default_member_permissions': '8', 'type': 1, 'name': 'agendar_avatar', 'name_localizations': None, 'description': 'Agenda o envio automático de um avatar', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0], 'options': [{'type': 6, 'name': 'usuario', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True}, {'type': 7, 'name': 'canal', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True, 'channel_types': [0, 5]}, {'type': 4, 'name': 'intervalo', 'name_localizations': None, 'description': '…', 'description_localizations': None, 'required': True, 'min_value': 1, 'max_value': 10080}], 'nsfw': False}, {'id': '1517314995233493177', 'application_id': '1517172259058483362', 'version': '1517320656361095339', 'default_member_permissions': '8', 'type': 1, 'name': 'avatar_agendado_status', 'name_localizations': None, 'description': 'Mostra a configuração atual do envio automático.', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0], 'nsfw': False}, {'id': '1517314995233493178', 'application_id': '1517172259058483362', 'version': '1517320656361095340', 'default_member_permissions': '8', 'type': 1, 'name': 'avatar_agendado_remover', 'name_localizations': None, 'description': 'Remove a configuração de envio automático.', 'description_localizations': None, 'dm_permission': True, 'contexts': None, 'integration_types': [0], 'nsfw': False}]
[2026-06-18 21:38:22] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
